station,gravity_final_mgal,elevation_m,latitude,longitude,free_air_correction_mgal,bouguer_correction_mgal,gravity_tied_mgal,instrument,gps_longitude,gps_latitude,gps_elevation_m,easting_m,northing_m,dem_elevation_m_at_station,obs_height_used_m,harmonica_topography_effect_mgal,gravity_harmonica_lidar_corrected_mgal,harmonica_minus_simple_bouguer_mgal,simple_bouguer_minus_harmonica_effect_mgal
17.0,0.4880883683470038,2110.823,40.47880759,-106.83552801,0.2956388000000258,0.1072510698000093,0.2997006381469873,CG5-1,-106.83552801,40.47880759,2110.823,344415.58291280153,4482520.443782107,,,,,,
18.0,0.4882740243975842,2110.624,40.47881475,-106.83553174,0.2342274000000044,0.0849724029000016,0.3390190272975815,CG5-1,-106.83553174,40.47881475,2110.624,344415.2832664013,4482521.245179654,,,,,,
19.0,0.40765353437856,2110.077,40.47882589,-106.83553107,0.0654232000001369,0.0237340572000496,0.3659643915784727,CG5-1,-106.83553107,40.47882589,2110.077,344415.36578812473,4482522.480631018,,,,,,
20.0,0.4404698371589216,2110.281,40.4788353,-106.83553229,0.1283776000000516,0.0465724896000187,0.3586647267588887,CG5-1,-106.83553229,40.4788353,2110.281,344415.28410418326,4482523.527370962,,,,,,
21.0,0.4947715924675129,2110.418,40.47884422,-106.83553858,0.1706558000001044,0.0619100643000378,0.3860258567674464,CG5-1,-106.83553858,40.47884422,2110.418,344414.77151831985,4482524.528657776,,,,,,
22.0,0.4034797466923997,2109.898,40.47885295,-106.83553779,0.01018380000011,0.0036944523000399,0.3969903989923296,CG5-1,-106.83553779,40.47885295,2109.898,344414.85864633834,4482525.49636742,,,,,,
23.0,0.4325007144013713,2109.905,40.47886276,-106.83554206,0.0123440000001291,0.0044781240000468,0.424634838401289,CG5-1,-106.83554206,40.47886276,2109.905,344414.5193460764,4482526.592889408,,,,,,
24.0,0.4509702795839032,2109.993,40.47886807,-106.83554226,0.0395008000000482,0.0143299968000175,0.4257994763838724,CG5-1,-106.83554226,40.47886807,2109.993,344414.51465603505,4482527.182696398,,,,,,
25.0,0.5144383459565375,2110.27,40.47887795,-106.83554295,0.1249830000000617,0.0453410055000224,0.4347963514564981,CG5-1,-106.83554295,40.47887795,2110.27,344414.47898442997,4482528.280675626,,,,,,
26.0,0.5030593107592999,2110.143,40.47888756,-106.83554613,0.0857908000000763,0.0311229618000276,0.4483914725592512,CG5-1,-106.83554613,40.47888756,2110.143,344414.2316187937,4482529.353073745,,,,,,
27.0,0.539910972697031,2110.327,40.47889622,-106.83554761,0.1425732000001369,0.0517223322000496,0.4490601048969438,CG5-1,-106.83554761,40.47889622,2110.327,344414.12616354006,4482530.3170159785,,,,,,
28.0,0.5011014264405953,2109.904,40.47890422,-106.83554897,0.0120354000000662,0.004366170900024,0.4934321973405531,CG5-1,-106.83554897,40.47890422,2109.904,344414.0293561162,4482531.207481086,,,,,,
29.0,0.5172230292214408,2109.865,40.47891131,-106.83555158,0.0,0.0,0.5172230292214408,CG5-1,-106.83555158,40.47891131,2109.865,344413.82448802976,4482531.999133004,,,,,,
