station,lat,lon,elev_m,grav_mean,grav_dc,grav_rel,FAC,FAA,instrument,n,grav_std,datetime_mid,easting,northing,station_m,elevation_m,gravity_tied_mgal,free_air_correction_mgal,reference_elevation_m,obs_height_used_m,harmonica_gz_mgal,gravity_free_air_only_mgal,harmonica_gz_relative_mgal,corrected_add_rel_mgal,corrected_subtract_rel_mgal,gravity_harmonica_lidar_corrected_mgal,dem_x,dem_y,dem_x_fixed_line,dem_y_fixed_line,dem_elevation_m_raw_fixed_line,dem_elevation_m_fixed,gps_minus_dem_fixed_m,elevation_m_original,elevation_m_fixed_dem,height_above_reference_m,bouguer_correction_mgal,gravity_simple_bouguer_corrected_mgal,elev_m_original
18.0,40.4788,-106.8355,2110.5718,3705.4037,3892.1616,0.3594,0.19438185,651.6979,40353,3,0.0025,2026-05-27 12:53:16.666666,344417.93971805216,4482519.55183374,18.0,2110.624,0.3594,651.3386,2109.942,2110.874,-1.567960079968843,0.5537818479776382,-0.0802512906840702,651.6177487093161,0.6340331386617084,0.6340331386617084,2628495.80798566,1420064.8401613522,2628479.037590554,1420072.90015263,2123.135,2110.5718,0.05222265624979627,2110.624,2110.5718,0.6298828,0.07051733,0.48326451661586756,2110.5718
19.0,40.4788,-106.8355,2110.5383,3705.4347,3892.1945,0.3923,0.18406002,651.5621,40353,3,0.0025,2026-05-27 12:58:34.666666,344417.93971805216,4482519.55183374,19.0,2110.077,0.3923,651.1698,2109.942,2110.327,-1.5622222320021355,0.5763600222349167,-0.074513442717363,651.4875865572826,0.6508734649522797,0.6508734649522797,2628495.80798566,1420064.8401613522,2628478.083369885,1420075.5169885505,2123.1016,2110.5383,-0.46133007812477445,2110.077,2110.5383,0.59643555,0.06677281,0.5095872111201286,2110.5383
20.0,40.4788,-106.8355,2110.488,3705.4313,3892.1931,0.3909,0.1685396,651.6236,40353,3,0.0006,2026-05-27 13:03:45.666666,344417.93971805216,4482519.55183374,20.0,2110.281,0.3909,651.2327,2109.942,2110.531,-1.5680701003687731,0.5594395985841751,-0.0803613110840004,651.5432386889161,0.6398009096681755,0.6398009096681755,2628495.80798566,1420064.8401613522,2628477.129149216,1420078.1338244712,2123.0513,2110.488,-0.20703710937505093,2110.281,2110.488,0.5461426,0.061142355,0.4982972433805466,2110.488
21.0,40.4788,-106.8355,2110.4102,3705.4623,3892.2258,0.4237,0.14450558,651.6987,40353,3,0.0006,2026-05-27 13:08:30.666666,344417.93971805216,4482519.55183374,21.0,2110.418,0.4237,651.275,2109.942,2110.668,-1.572013457773717,0.568205575299263,-0.0843046684889443,651.6143953315111,0.6525102437882073,0.6525102437882073,2628495.80798566,1420064.8401613522,2628476.174928548,1420080.7506603915,2122.9734,2110.4102,0.007843750000120053,2110.418,2110.4102,0.46826172,0.05242335,0.5157822247862816,2110.4102
22.0,40.4789,-106.8355,2110.358,3705.4763,3892.2413,0.4391,0.12838243,651.5536,40353,3,0.0021,2026-05-27 13:12:28.666666,344418.17066217173,4482530.652667736,22.0,2109.898,0.4391,651.1145,2109.942,2110.148,-1.4478435386399302,0.5674824294805527,0.0398652506448424,651.593465250645,0.5276171788357104,0.5276171788357104,2628496.3566294103,1420101.2663816072,2628475.220707879,1420083.3674963121,2122.9211,2110.358,-0.45991015624986176,2109.898,2110.358,0.41601562,0.04657424,0.520908190792799,2110.358
23.0,40.4789,-106.8355,2110.3242,3705.5073,3892.2739,0.4717,0.117985256,651.5884,40353,3,0.0025,2026-05-27 13:16:51.666666,344418.17066217173,4482530.652667736,23.0,2109.905,0.4717,651.1167,2109.942,2110.155,-1.4480530320173994,0.5896852560162544,0.0396557572673732,651.6280557572675,0.5500294987488812,0.5500294987488812,2628496.3566294103,1420101.2663816072,2628474.26648721,1420085.9843322327,2122.8875,2110.3242,-0.4192187499997999,2109.905,2110.3242,0.38232422,0.042802382,0.5468828737556934,2110.3242
24.0,40.4789,-106.8355,2110.2832,3705.5127,3892.2813,0.4791,0.10532784,651.6229,40353,3,0.0029,2026-05-27 13:22:18.666666,344418.17066217173,4482530.652667736,24.0,2109.993,0.4791,651.1438,2109.942,2110.243,-1.450690318682578,0.5844278371691705,0.0370184706021947,651.6599184706023,0.5474093665669758,0.5474093665669758,2628496.3566294103,1420101.2663816072,2628473.312266541,1420088.6011681533,2122.8464,2110.2832,-0.29020312500006185,2109.993,2110.2832,0.3413086,0.038210556,0.5462172812581063,2110.2832
25.0,40.4789,-106.8355,2110.2393,3705.5257,3892.2962,0.494,0.09176631,651.7233,40353,3,0.0047,2026-05-27 13:27:32.666666,344418.17066217173,4482530.652667736,25.0,2110.27,0.494,651.2293,2109.942,2110.52,-1.4590361245702563,0.5857663127183914,0.0286726647145163,651.7519726647145,0.5570936480038751,0.5570936480038751,2628496.3566294103,1420101.2663816072,2628472.3580458723,1420091.218004074,2122.8025,2110.2393,0.03074218749998181,2110.27,2110.2393,0.29736328,0.03329074,0.5524755726158619,2110.2393
26.0,40.4789,-106.8355,2110.143,3705.543,3892.3153,0.5131,0.062081642,651.7033,40353,3,0.0069,2026-05-27 13:32:25.666666,344418.17066217173,4482530.652667736,26.0,2110.143,0.5131,651.1901,2109.942,2110.393,-1.4552013363253344,0.5751816424489021,0.0325074529594382,651.7357074529594,0.5426741894894639,0.5426741894894639,2628496.3566294103,1420101.2663816072,2628471.4038252034,1420093.8348399946,2122.7063,2110.143,-6.640624997089617e-05,2110.143,2110.143,0.20117188,0.022521816,0.5526598262548447,2110.143
27.0,40.4789,-106.8355,2110.071,3705.549,3892.3239,0.5217,0.03985581,651.7686,40353,3,0.001,2026-05-27 13:39:23.666666,344418.17066217173,4482530.652667736,27.0,2110.327,0.5217,651.2469,2109.942,2110.577,-1.4607618711481218,0.5615558117449284,0.0269469181366508,651.7955469181367,0.5346088936082776,0.5346088936082776,2628496.3566294103,1420101.2663816072,2628470.449604535,1420096.451675915,2122.6343,2110.071,0.25595507812522555,2110.327,2110.071,0.12915039,0.014458787,0.5470970250487328,2110.071
