station,gravity_final_mgal,elevation_m,latitude,longitude,free_air_correction_mgal,bouguer_correction_mgal,gravity_tied_mgal,instrument,gps_longitude,gps_latitude,gps_elevation_m,easting_m,northing_m,dem_elevation_m_at_station_raw,dem_vertical_shift_m,dem_elevation_m_at_station,gps_minus_dem_elevation_m,obs_height_used_m,harmonica_topography_effect_mgal,gravity_harmonica_lidar_corrected_mgal
11.0,0.4127586654560778,2111.017,40.47875538,-106.83551551,0.3555072000000134,0.1289699712000049,0.1862214366560692,CG5-2,-106.83551551,40.47875538,2111.017,344416.5219280908,4482514.625993138,2123.7456887100807,-12.54840576635479,2111.197282943726,-0.1802829437260698,2111.267,-0.4085863939135557,0.9503150305696384
12.0,0.306394594885053,2110.432,40.4787628,-106.83551822,0.1749762000000022,0.0634774077000008,0.1948958025850515,CG5-2,-106.83551822,40.4787628,2110.432,344416.3093445444,4482515.454454048,2123.6717211683535,-12.54840576635479,2111.1233154019988,-0.6913154019989634,2110.682,-0.5119450645306483,0.881817067115702
12.5,0.3086086096600491,2110.407,40.47877146,-106.8355189,0.1672612000001145,0.0606785802000415,0.2020259898599761,CG5-2,-106.8355189,40.47877146,2110.407,344416.27170263,4482516.416985429,2123.5788077259535,-12.54840576635479,2111.0304019595987,-0.6234019595985956,2110.657,-0.5146771508048031,0.8839643406648937
13.0,0.3593625696228942,2110.634,40.47877179,-106.8355199,0.2373134000000718,0.086091933900026,0.2081411035228484,CG5-2,-106.8355199,40.47877179,2110.634,344416.18769734364,4482516.455381666,2123.5806064982276,-12.54840576635479,2111.0322007318728,-0.3982007318727483,2110.884,-0.4748222838842864,0.9202767874072066
13.5,0.290566840019504,2110.257,40.47878024,-106.83552017,0.1209712000000864,0.0438856152000313,0.2134812552194489,CG5-2,-106.83552017,40.47878024,2110.257,344416.1843251046,4482517.39387827,2123.4876166744984,-12.54840576635479,2110.9392109081437,-0.6822109081435883,2110.507,-0.5149273258006516,0.8493797810201869
14.0,0.5452760407515923,2111.519,40.47877959,-106.83552282,0.5104243999999989,0.1851704273999996,0.2200220681515929,CG5-2,-106.83552282,40.47877959,2111.519,344415.9581903439,4482517.32639609,2123.5091296771348,-12.54840576635479,2110.96072391078,0.5582760892198166,2111.769,-0.4612713480991421,1.1917178162507338
14.5,0.5676418311865024,2111.614,40.47878177,-106.83552425,0.5397414000000774,0.1958059719000281,0.223706403086453,CG5-2,-106.83552425,40.47878177,2111.614,344415.84200760094,4482517.570916058,2123.492331327442,-12.54840576635479,2110.9439255610873,0.6700744389127067,2111.864,-0.46699063227057086,1.2304384353571012
15.0,0.5487959837793157,2111.399,40.47879099,-106.83552433,0.4733924000000325,0.1717360554000118,0.247139639179295,CG5-1,-106.83552433,40.47879099,2111.399,344415.85651951283,4482518.594554024,2123.3892295524583,-12.54840576635479,2110.8408237861036,0.5581762138963313,2111.649,-0.4789594861778622,1.1994915253571898
15.0,0.5487959837793157,2111.399,40.47879099,-106.83552433,0.4733924000000325,0.1717360554000118,0.247139639179295,CG5-2,-106.83552433,40.47879099,2111.399,344415.85651951283,4482518.594554024,2123.3892295524583,-12.54840576635479,2110.8408237861036,0.5581762138963313,2111.649,-0.4789594861778622,1.1994915253571898
15.5,0.5175035665134607,2111.149,40.47879563,-106.83552641,0.3962424000000325,0.1437477804000118,0.26500894691344,CG5-1,-106.83552641,40.47879563,2111.149,344415.69091929815,4482519.113300779,2123.347878048997,-12.54840576635479,2110.799472282642,0.349527717357887,2111.399,-0.477481367386651,1.1387327143001236
